n,koff
423.,2.1749408983451537
424.,2.169811320754717
425.,2.164705882352941
426.,2.15962441314554
427.,2.1545667447306793
428.,2.149532710280374
429.,2.1445221445221447
430.,2.13953488372093
431.,2.1345707656612527
432.,2.1296296296296298
433.,2.1247113163972284
434.,2.119815668202765
435.,2.1149425287356323
436.,2.110091743119266
437.,2.1052631578947367
438.,2.1004566210045663
439.,2.0956719817767655
440.,2.090909090909091
441.,2.0861678004535147
442.,2.081447963800905
443.,2.0767494356659144
444.,2.0720720720720722
445.,2.067415730337079
446.,2.062780269058296
447.,2.058165548098434
448.,2.0535714285714284
449.,2.048997772828508
450.,2.0444444444444443
451.,2.0399113082039912
452.,2.0353982300884956
453.,2.0309050772626933
454.,2.026431718061674
455.,2.021978021978022
456.,2.017543859649123
457.,2.0131291028446388
458.,2.0087336244541483
459.,2.0043572984749454
460.,2.
461.,1.9956616052060738
462.,1.9913419913419914
463.,1.9870410367170626
464.,1.9827586206896552
465.,1.978494623655914
466.,1.9742489270386265
467.,1.9700214132762313
468.,1.9658119658119657
469.,1.9616204690831556
470.,1.9574468085106382
471.,1.9532908704883227
472.,1.9491525423728813
473.,1.945031712473573
474.,1.9409282700421941
475.,1.936842105263158
476.,1.9327731092436975
477.,1.928721174004193
478.,1.9246861924686192
479.,1.9206680584551148
480.,1.9166666666666667
481.,1.9126819126819128
482.,1.9087136929460582
483.,1.9047619047619047
484.,1.9008264462809918
485.,1.8969072164948453
486.,1.8930041152263375
487.,1.88911704312115
488.,1.8852459016393444
489.,1.8813905930470347
490.,1.8775510204081634
491.,1.8737270875763747
492.,1.8699186991869918
493.,1.8661257606490873
494.,1.8623481781376519
495.,1.8585858585858586
496.,1.8548387096774193
497.,1.8511066398390341
498.,1.8473895582329318
499.,1.843687374749499
500.,1.84
501.,1.8363273453093811
502.,1.8326693227091633
503.,1.8290258449304175
504.,1.8253968253968254
505.,1.8217821782178218
506.,1.8181818181818181
507.,1.8145956607495068
508.,1.811023622047244
509.,1.8074656188605107
510.,1.803921568627451
511.,1.8003913894324852
512.,1.796875
513.,1.793372319688109
514.,1.7898832684824904
515.,1.7864077669902914
516.,1.7829457364341086
517.,1.7794970986460348
518.,1.776061776061776
519.,1.7726396917148362
520.,1.7692307692307692
521.,1.765834932821497
522.,1.7624521072796935
523.,1.7590822179732313
524.,1.7557251908396947
525.,1.7523809523809524
526.,1.7490494296577948
527.,1.74573055028463
528.,1.7424242424242424
529.,1.7391304347826086
530.,1.7358490566037736
531.,1.7325800376647835
532.,1.7293233082706767
533.,1.726078799249531
534.,1.7228464419475655
535.,1.719626168224299
536.,1.7164179104477613
537.,1.7132216014897579
538.,1.7100371747211895
539.,1.7068645640074211
540.,1.7037037037037037
541.,1.700554528650647
542.,1.6974169741697418
543.,1.6942909760589318
544.,1.6911764705882353
545.,1.688073394495413
546.,1.684981684981685
547.,1.6819012797074955
548.,1.6788321167883211
549.,1.6757741347905282
550.,1.6727272727272726
551.,1.6696914700544465
552.,1.6666666666666667
553.,1.6636528028933093
554.,1.660649819494585
555.,1.6576576576576576
556.,1.6546762589928057
557.,1.6517055655296229
558.,1.6487455197132617
559.,1.6457960644007155
560.,1.6428571428571428
561.,1.6399286987522281
562.,1.6370106761565837
563.,1.6341030195381883
564.,1.6312056737588652
565.,1.6283185840707965
566.,1.6254416961130742
567.,1.6225749559082892
568.,1.619718309859155
569.,1.616871704745167
570.,1.6140350877192982
571.,1.6112084063047285
572.,1.6083916083916083
573.,1.6055846422338569
574.,1.602787456445993
575.,1.6
576.,1.5972222222222223
577.,1.5944540727902947
578.,1.5916955017301038
579.,1.5889464594127807
580.,1.5862068965517242
581.,1.5834767641996557
582.,1.5807560137457044
583.,1.5780445969125214
584.,1.5753424657534247
585.,1.5726495726495726
586.,1.5699658703071673
587.,1.567291311754685
588.,1.564625850340136
589.,1.5619694397283532
590.,1.5593220338983051
591.,1.5566835871404399
592.,1.554054054054054
593.,1.5514333895446881
594.,1.5488215488215489
595.,1.546218487394958
596.,1.5436241610738255
597.,1.5410385259631492
598.,1.5384615384615385
599.,1.5358931552587647
600.,1.5333333333333334
601.,1.5307820299500832
602.,1.5282392026578073
603.,1.5257048092868988
604.,1.5231788079470199
605.,1.5206611570247934
606.,1.518151815181518
607.,1.5156507413509062
608.,1.513157894736842
609.,1.5106732348111658
610.,1.5081967213114753
611.,1.5057283142389526
612.,1.5032679738562091
613.,1.500815660685155
